dd0 Cell Density
dd0-dd1 Cell Density Gradient
dd1 Cell Density
dd1-dd2 Cell Density Gradient
dd2 Cell Density
dd2-dd3 Cell Density Gradient
dd3 Cell Density 
dd3-dd5 Cell Density Gradient
dd5 Cell Density
dd5-dd7 Cell Density Gradient
dd7 Cell Density
dd0 Aggregate Size
dd0-dd1 Aggregate Size Gradient
dd1 Aggregate Size 
dd1-dd2 Aggregate Size Gradient
dd2 Aggregate Size 
dd2-dd3 Aggregate Size Gradient
dd3 Aggregate Size 
dd3-dd5 Aggregate Size Gradient
dd5 Aggregate Size 
dd7 Aggregate Size 
dd5-dd7 Aggregate Size Gradient
Preculture Time [h]
Start Preculture Perfusion [h after inoc] d1-d2
Presence of  IWP2 [h]
Average DO concentration d0
Average DO concentration d1
Average DO concentration dd0
Average DO concentration dd1
Average DO concentration dd2
Average DO concentration dd3
Average DO concentration dd4
Average DO concentration dd5
Average DO concentration dd6
Average DO concentration dd7
Average DO concentration gradient d0
Average DO concentration gradient d1
Average DO concentration gradient dd0
Average DO concentration gradient dd1
Average DO concentration gradient dd2
Average DO concentration gradient dd3
Average DO concentration gradient dd4
Average DO concentration gradient dd5
Average DO concentration gradient dd6
Average DO concentration gradient dd7
DO concentration/cell count dd0
DO concentration/cell count dd1
DO concentration/cell count dd2
DO concentration/cell count dd3
DO concentration/cell count dd5
DO concentration/cell count dd7
DO gradient/cell count dd0
DO gradient/cell count dd1
DO gradient/cell count dd2
DO gradient/cell count dd3
DO gradient/cell count dd5
DO gradient/cell count dd7
dd0 Average of 2nd derivative DO
dd1 Average of 2nd derivative DO
dd2 Average of 2nd derivative DO
dd3 Average of 2nd derivative DO
dd5 Average of 2nd derivative DO
dd7 Average of 2nd derivative DO
dd0 DO 2nd derivative/cell count
dd1 DO 2nd derivative/cell count
dd2 DO 2nd derivative/cell count
dd3 DO 2nd derivative/cell count
dd5 DO 2nd derivative/cell count
dd7 DO 2nd derivative/cell count
Overall Average pH
Overall density gradient
Overall aggregate size gradient
d0 Average pH
d0 Average pH Gradient
d1 Average pH
d1 Average pH Gradient
dd0 Average pH
dd0 Average pH Gradient
dd1 Average pH
dd1 Average pH Gradient
dd2 Average pH
dd2 Average pH Gradient
dd3 Average pH
dd3 Average pH Gradient
dd4 Average pH
dd4 Average pH Gradient
dd5 Average pH
dd5 Average pH Gradient
dd6 Average pH
dd6 Average pH Gradient
dd7 Average pH
dd7 Average pH Gradient
dd0 Lactate Concentration
dd1 Lactate Concentration
dd3 Lactate Concentration
dd5 Lactate Concentration
dd7 Lactate Concentration
dd0 Glucose Concentration
dd1 Glucose Concentration
dd3 Glucose Concentration
dd5 Glucose Concentration
dd7 Glucose Concentration
